Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 

90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.55632, 0.321735, 2, 2, 1, 2, 2, 1, 14.0988, 2, 2, 0.5, 1, 1, 1, 63.3894, 
90, 32768, 1, 2, 512, 1.0104, 1.45636, N/A, 0.206864, 0.282094, 16.5534, 0.735189, 2, 2, 1, 2, 2, 1, 54.2619, 2, 2, 2, 1, 4, 1, 71.0415, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 262144, 1, 2, 512, 1.95586, 3.89324, N/A, 0.579359, 0.780991, 121.046, 3.95115, 2, 2, 2, 4, 2, 1, 79.7572, 2, 2, 4, 1, 8, 1, 81.1281, 
90, 1048576, 1, 2, 512, 3.59361, 3.89324, N/A, 1.23064, 1.42088, 480.115, 21.291, 2, 8, 2, 4, 2, 1, 61.9252, 2, 2, 8, 16, 1, 1, 85.7243, 
90, 2097152, 1, 2, 512, 5.05455, 10.9692, N/A, 1.79205, 1.71943, 929.77, 37.9972, 2, 8, 4, 8, 2, 1, 70.1618, 2, 4, 16, 1, 32, 1, 84.4148, 
90, 4194304, 1, 2, 512, 6.56782, 10.9692, N/A, 2.63958, 2.54737, 1855.53, 76.933, 2, 16, 4, 8, 2, 1, 68.6772, 2, 4, 16, 1, 32, 1, 86.782, 
90, 8388608, 1, 2, 512, 8.82306, 11.6122, N/A, 4.1758, 4.00666, 3691.19, 138.504, 4, 8, 8, 8, 2, 1, 76.5209, 4, 4, 32, 1, 32, 2, 86.5757, 
90, 16777216, 1, 2, 512, 12.1807, 5.6852, N/A, 5.46939, 6.2363, 7541.44, 307.098, 8, 8, 8, 4, 2, 1, 78.9322, 8, 8, 64, 1, 32, 2, 82.848, 
90, 33554432, 1, 2, 512, 16.5301, 5.6852, N/A, 7.85388, 8.6357, 15058.8, 538.766, 16, 8, 16, 4, 2, 1, 78.2198, 8, 16, 64, 1, 64, 1, 82.2851, 
90, 134217728, 1, 2, 512, 30.1859, 12.8301, N/A, 15.7872, 15.7267, 58583.2, 1966.51, 16, 16, 32, 8, 2, 1, 84.9251, 16, 64, 128, 1, 32, 2, 77.5059, 
90, 67108864, 1, 2, 512, 21.8573, 12.8301, N/A, 11.2045, 11.1422, 29342.6, 1155.48, 8, 16, 16, 8, 2, 1, 82.8855, 16, 32, 128, 1, 8, 4, 78.9838, 
90, 1073741824, 1, 2, 512, 76.1253, 15.5265, N/A, 42.7966, 42.8159, 467362, 14786, 32, 32, 64, 8, 2, 1, 89.2634, 64, 256, 256, 1, 32, 1, 74.9217, 
