Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 2048, 1, 1, 512, 0.213348, 0.314693, N/A, 0.0213621, 0.023984, 2.91897, 0.0326664, 2, 2, 1, 2, 1, 1, 13.7653, 2, 2, 0.5, 1, 1, 1, 58.8222, 
40, 2560, 1, 1, 512, 0.217878, 0.317513, N/A, 0.0215181, 0.0249565, 3.49061, 0.0339217, 2, 2, 1, 2, 1, 1, 16.5645, 2, 2, 0.5, 1, 1, 1, 62.1383, 
40, 3072, 1, 1, 512, 0.22234, 0.320243, N/A, 0.0216747, 0.0259295, 4.06206, 0.035175, 2, 2, 1, 2, 1, 1, 19.1623, 2, 2, 0.5, 1, 1, 1, 64.7554, 
40, 3584, 1, 1, 512, 0.219195, 0.314502, N/A, 0.021846, 0.0269172, 4.65147, 0.0364506, 2, 2, 1, 2, 1, 1, 21.5722, 2, 2, 0.5, 1, 1, 1, 66.4193, 
40, 4096, 1, 1, 512, 0.233535, 0.316659, N/A, 0.0224576, 0.0273578, 5.15982, 0.0412657, 2, 2, 1, 2, 1, 1, 23.7877, 2, 2, 2, 1, 4, 1, 52.6652, 
40, 5120, 1, 1, 512, 0.238443, 0.320579, N/A, 0.0227618, 0.0290988, 6.28085, 0.0440194, 2, 2, 1, 2, 1, 1, 27.8665, 2, 2, 2, 1, 4, 1, 57.4024, 
40, 6144, 1, 1, 512, 0.243328, 0.324468, N/A, 0.0230667, 0.0308406, 7.4017, 0.0467723, 2, 2, 1, 2, 1, 1, 31.4649, 2, 2, 2, 1, 4, 1, 61.0648, 
40, 7168, 1, 1, 512, 0.247732, 0.32818, N/A, 0.0233863, 0.0325969, 8.5405, 0.0495761, 2, 2, 1, 2, 1, 1, 34.6583, 2, 2, 2, 1, 4, 1, 63.5049, 
40, 8192, 1, 1, 512, 0.253921, 0.33233, N/A, 0.0234641, 0.0347175, 9.73464, 0.0495172, 2, 2, 1, 2, 1, 1, 37.4632, 2, 2, 1, 1, 2, 1, 68.6108, 
40, 10240, 1, 1, 512, 0.263149, 0.340034, N/A, 0.0240877, 0.0383312, 11.9931, 0.0547362, 2, 2, 1, 2, 1, 1, 42.3533, 2, 2, 1, 1, 2, 1, 70.8425, 
40, 12288, 1, 1, 512, 0.272202, 0.34771, N/A, 0.0249264, 0.0413164, 14.1624, 0.0633147, 2, 2, 1, 2, 1, 1, 46.3977, 2, 2, 2, 1, 4, 1, 71.5448, 
40, 14336, 1, 1, 512, 0.282384, 0.355624, N/A, 0.0261466, 0.0447428, 16.5807, 0.0777482, 2, 2, 1, 2, 1, 1, 49.7868, 2, 2, 4, 1, 8, 1, 59.4198, 
40, 16384, 1, 1, 512, 0.304554, 0.363393, N/A, 0.0266328, 0.0480537, 18.8654, 0.0837541, 2, 2, 1, 2, 1, 1, 52.5889, 2, 2, 4, 1, 8, 1, 60.9853, 
40, 20480, 1, 1, 512, 0.323474, 0.379546, N/A, 0.0278344, 0.0548837, 23.372, 0.0961079, 2, 2, 1, 2, 1, 1, 57.2583, 2, 2, 4, 1, 8, 1, 64.5389, 
40, 24576, 1, 1, 512, 0.342987, 0.39599, N/A, 0.0290361, 0.0617137, 27.8756, 0.108454, 2, 2, 1, 2, 1, 1, 60.8609, 2, 2, 4, 1, 8, 1, 67.1774, 
40, 28672, 1, 1, 512, 0.363023, 0.412582, N/A, 0.030237, 0.0685428, 32.379, 0.120822, 2, 2, 1, 2, 1, 1, 63.7248, 2, 2, 4, 1, 8, 1, 69.1437, 
40, 32768, 1, 1, 512, 0.387116, 0.430365, N/A, 0.0315414, 0.0754849, 36.8503, 0.13241, 2, 2, 1, 2, 1, 1, 65.9962, 2, 2, 4, 1, 8, 1, 70.015, 
40, 40960, 1, 1, 512, 0.430209, 0.464243, N/A, 0.0339629, 0.0891601, 45.8358, 0.156966, 2, 2, 1, 2, 1, 1, 69.5687, 2, 2, 4, 1, 8, 1, 72.3313, 
40, 49152, 1, 1, 512, 0.475479, 0.498638, N/A, 0.0363829, 0.102834, 54.821, 0.181483, 2, 2, 1, 2, 1, 1, 72.1732, 2, 2, 4, 1, 8, 1, 74.0387, 
